# Datos de Telemetría de Sensores - SIATA Medellín
# Formato: Timestamp|Sensor_ID|Humedad|Movimiento|Presion|Temperatura|Inclinacion|Vibracion|Flujo_Agua|Estado_Bateria

2024-03-10T08:00:00|S001|0.45|0.12|1013.25|22.5|2.1|0.05|0.8|0.95
2024-03-10T08:15:00|S001|0.47|0.11|1013.30|22.7|2.2|0.04|0.9|0.94
2024-03-10T08:30:00|S001|0.49|0.13|1013.28|22.8|2.0|0.06|0.7|0.96
2024-03-10T08:45:00|S001|0.52|0.15|1013.35|23.0|2.3|0.07|1.1|0.93
2024-03-10T09:00:00|S001|0.58|0.18|1013.40|23.2|2.5|0.09|1.4|0.92
2024-03-10T09:15:00|S001|0.65|0.22|1013.45|23.5|2.8|0.12|1.8|0.91
2024-03-10T09:30:00|S001|0.72|0.28|1013.50|23.8|3.2|0.15|2.3|0.89
2024-03-10T09:45:00|S001|0.78|0.35|1013.55|24.1|3.6|0.19|2.9|0.87
2024-03-10T10:00:00|S001|0.85|0.42|1013.60|24.4|4.1|0.24|3.6|0.85
2024-03-10T10:15:00|S001|0.92|0.51|1013.65|24.7|4.7|0.30|4.4|0.82
2024-03-10T10:30:00|S001|1.01|0.62|1013.70|25.0|5.4|0.37|5.5|0.78
2024-03-10T10:45:00|S001|1.12|0.75|1013.75|25.3|6.2|0.45|6.8|0.74
2024-03-10T11:00:00|S001|1.25|0.89|1013.80|25.6|7.1|0.54|8.3|0.69
2024-03-10T11:15:00|S001|1.40|1.05|1013.85|25.9|8.1|0.64|10.1|0.64
2024-03-10T11:30:00|S001|1.58|1.23|1013.90|26.2|9.2|0.75|12.2|0.58
2024-03-10T11:45:00|S001|1.78|1.43|1013.95|26.5|10.4|0.87|14.6|0.51
2024-03-10T12:00:00|S001|2.01|1.65|1014.00|26.8|11.7|1.00|17.3|0.43
2024-03-10T12:15:00|S001|2.27|1.89|1014.05|27.1|13.1|1.14|20.4|0.35
2024-03-10T12:30:00|S001|2.56|2.15|1014.10|27.4|14.6|1.29|23.8|0.26
2024-03-10T12:45:00|S001|2.89|2.43|1014.15|27.7|16.2|1.45|27.6|0.17
2024-03-10T13:00:00|S001|3.25|2.73|1014.20|28.0|17.9|1.62|31.8|0.08
2024-03-10T13:15:00|S001|3.65|3.05|1014.25|28.3|19.7|1.80|36.4|0.01
2024-03-10T13:30:00|S001|4.09|3.39|1014.30|28.6|21.6|1.99|41.4|0.00
2024-03-10T13:45:00|S001|4.57|3.75|1014.35|28.9|23.6|2.19|46.8|0.00
2024-03-10T14:00:00|S001|5.10|4.13|1014.40|29.2|25.7|2.40|52.6|0.00
2024-03-10T14:15:00|S001|5.68|4.53|1014.45|29.5|27.9|2.62|58.8|0.00
2024-03-10T14:30:00|S001|6.31|4.95|1014.50|29.8|30.2|2.85|65.4|0.00
2024-03-10T14:45:00|S001|6.99|5.39|1014.55|30.1|32.6|3.09|72.4|0.00
2024-03-10T15:00:00|S001|7.73|5.85|1014.60|30.4|35.1|3.34|79.8|0.00
2024-03-10T15:15:00|S001|8.52|6.33|1014.65|30.7|37.7|3.60|87.6|0.00
2024-03-10T15:30:00|S001|9.37|6.83|1014.70|31.0|40.4|3.87|95.8|0.00
2024-03-10T15:45:00|S001|10.28|7.35|1014.75|31.3|43.2|4.15|104.4|0.00
2024-03-10T16:00:00|S001|11.25|7.89|1014.80|31.6|46.1|4.44|113.4|0.00

2024-03-10T08:00:00|S002|0.38|0.08|1012.85|21.8|1.8|0.03|0.6|0.97
2024-03-10T08:15:00|S002|0.40|0.09|1012.88|21.9|1.9|0.04|0.7|0.96
2024-03-10T08:30:00|S002|0.42|0.10|1012.90|22.0|2.0|0.04|0.8|0.95
2024-03-10T08:45:00|S002|0.44|0.11|1012.92|22.1|2.1|0.05|0.9|0.94
2024-03-10T09:00:00|S002|0.46|0.12|1012.95|22.2|2.2|0.05|1.0|0.93
2024-03-10T09:15:00|S002|0.48|0.13|1012.98|22.3|2.3|0.06|1.1|0.92
2024-03-10T09:30:00|S002|0.50|0.14|1013.00|22.4|2.4|0.06|1.2|0.91
2024-03-10T09:45:00|S002|0.52|0.15|1013.02|22.5|2.5|0.07|1.3|0.90
2024-03-10T10:00:00|S002|0.54|0.16|1013.05|22.6|2.6|0.07|1.4|0.89
2024-03-10T10:15:00|S002|0.56|0.17|1013.08|22.7|2.7|0.08|1.5|0.88
2024-03-10T10:30:00|S002|0.58|0.18|1013.10|22.8|2.8|0.08|1.6|0.87
2024-03-10T10:45:00|S002|0.60|0.19|1013.12|22.9|2.9|0.09|1.7|0.86
2024-03-10T11:00:00|S002|0.62|0.20|1013.15|23.0|3.0|0.09|1.8|0.85
2024-03-10T11:15:00|S002|0.64|0.21|1013.18|23.1|3.1|0.10|1.9|0.84
2024-03-10T11:30:00|S002|0.66|0.22|1013.20|23.2|3.2|0.10|2.0|0.83
2024-03-10T11:45:00|S002|0.68|0.23|1013.22|23.3|3.3|0.11|2.1|0.82
2024-03-10T12:00:00|S002|0.70|0.24|1013.25|23.4|3.4|0.11|2.2|0.81
2024-03-10T12:15:00|S002|0.72|0.25|1013.28|23.5|3.5|0.12|2.3|0.80
2024-03-10T12:30:00|S002|0.74|0.26|1013.30|23.6|3.6|0.12|2.4|0.79
2024-03-10T12:45:00|S002|0.76|0.27|1013.32|23.7|3.7|0.13|2.5|0.78
2024-03-10T13:00:00|S002|0.78|0.28|1013.35|23.8|3.8|0.13|2.6|0.77
2024-03-10T13:15:00|S002|0.80|0.29|1013.38|23.9|3.9|0.14|2.7|0.76
2024-03-10T13:30:00|S002|0.82|0.30|1013.40|24.0|4.0|0.14|2.8|0.75
2024-03-10T13:45:00|S002|0.84|0.31|1013.42|24.1|4.1|0.15|2.9|0.74
2024-03-10T14:00:00|S002|0.86|0.32|1013.45|24.2|4.2|0.15|3.0|0.73
2024-03-10T14:15:00|S002|0.88|0.33|1013.48|24.3|4.3|0.16|3.1|0.72
2024-03-10T14:30:00|S002|0.90|0.34|1013.50|24.4|4.4|0.16|3.2|0.71
2024-03-10T14:45:00|S002|0.92|0.35|1013.52|24.5|4.5|0.17|3.3|0.70
2024-03-10T15:00:00|S002|0.94|0.36|1013.55|24.6|4.6|0.17|3.4|0.69
2024-03-10T15:15:00|S002|0.96|0.37|1013.58|24.7|4.7|0.18|3.5|0.68
2024-03-10T15:30:00|S002|0.98|0.38|1013.60|24.8|4.8|0.18|3.6|0.67
2024-03-10T15:45:00|S002|1.00|0.39|1013.62|24.9|4.9|0.19|3.7|0.66
2024-03-10T16:00:00|S002|1.02|0.40|1013.65|25.0|5.0|0.19|3.8|0.65

2024-03-10T08:00:00|S003|0.52|0.15|1014.12|23.1|2.8|0.07|1.2|0.92
2024-03-10T08:15:00|S003|0.55|0.16|1014.15|23.3|3.0|0.08|1.4|0.90
2024-03-10T08:30:00|S003|0.58|0.18|1014.18|23.5|3.2|0.09|1.6|0.88
2024-03-10T08:45:00|S003|0.62|0.20|1014.22|23.7|3.4|0.10|1.8|0.86
2024-03-10T09:00:00|S003|0.66|0.22|1014.25|23.9|3.6|0.11|2.0|0.84
2024-03-10T09:15:00|S003|0.71|0.24|1014.28|24.1|3.8|0.12|2.2|0.82
2024-03-10T09:30:00|S003|0.76|0.26|1014.32|24.3|4.0|0.13|2.4|0.80
2024-03-10T09:45:00|S003|0.82|0.28|1014.35|24.5|4.2|0.14|2.6|0.78
