# Muestras de Laboratorio - Café del Suroeste Antioqueño
# Formato: ID_Muestra|pH|Acidez|Cuerpo|Aroma|Sabor|Dulzor|Amargura|Aftertaste|Calidad

CAF001|5.8|6.2|5.1|5.4|5.3|4.9|7.8|5.1|Baja
CAF002|6.1|6.8|5.9|6.2|6.1|5.8|6.9|6.0|Media
CAF003|6.4|8.1|8.3|8.6|8.7|8.1|3.8|8.5|Alta
CAF004|5.9|6.5|5.4|5.8|5.6|5.2|7.2|5.4|Baja
CAF005|6.2|7.3|6.8|7.1|7.0|6.7|5.8|6.9|Media
CAF006|6.5|8.4|8.7|8.9|9.1|8.4|3.4|8.8|Alta
CAF007|5.7|5.9|4.8|5.2|5.0|4.6|8.1|4.9|Baja
CAF008|6.3|7.6|7.2|7.5|7.4|7.1|5.2|7.3|Media
CAF009|6.6|8.7|8.9|9.2|9.3|8.7|3.1|9.0|Alta
CAF010|6.0|6.7|5.6|6.0|5.8|5.5|6.8|5.7|Media
CAF011|5.8|6.1|5.0|5.3|5.1|4.8|7.9|5.0|Baja
CAF012|6.4|8.0|8.2|8.5|8.6|8.0|3.9|8.4|Alta
CAF013|6.1|7.0|6.5|6.8|6.7|6.4|5.9|6.6|Media
CAF014|5.9|6.4|5.3|5.7|5.5|5.1|7.3|5.3|Baja
CAF015|6.5|8.5|8.8|9.0|9.2|8.5|3.3|8.9|Alta
CAF016|6.2|7.4|6.9|7.2|7.1|6.8|5.7|7.0|Media
CAF017|5.7|5.8|4.7|5.1|4.9|4.5|8.2|4.8|Baja
CAF018|6.4|8.2|8.4|8.7|8.8|8.2|3.6|8.6|Alta
CAF019|6.0|6.6|5.5|5.9|5.7|5.4|6.7|5.6|Media
CAF020|6.3|7.7|7.3|7.6|7.5|7.2|5.3|7.4|Media
CAF021|5.8|6.0|4.9|5.2|5.0|4.7|8.0|4.9|Baja
CAF022|6.5|8.6|9.0|9.3|9.4|8.8|3.0|9.1|Alta
CAF023|6.1|6.9|6.0|6.3|6.2|5.9|6.5|6.1|Media
CAF024|5.9|6.3|5.2|5.6|5.4|5.0|7.4|5.2|Baja
CAF025|6.4|8.1|8.5|8.8|8.9|8.3|3.7|8.7|Alta
CAF026|6.2|7.2|6.7|7.0|6.9|6.6|5.6|6.8|Media
CAF027|5.7|5.7|4.6|5.0|4.8|4.4|8.3|4.7|Baja
CAF028|6.3|7.8|7.4|7.7|7.6|7.3|5.4|7.5|Media
CAF029|6.6|8.8|9.1|9.4|9.5|8.9|3.2|9.2|Alta
CAF030|6.0|6.5|5.4|5.8|5.6|5.3|6.6|5.5|Media
CAF031|5.8|6.2|5.1|5.5|5.3|4.9|7.7|5.0|Baja
CAF032|6.4|8.3|8.6|8.9|9.0|8.4|3.5|8.8|Alta
CAF033|6.1|7.1|6.6|6.9|6.8|6.5|5.8|6.7|Media
CAF034|5.9|6.4|5.3|5.7|5.5|5.1|7.2|5.3|Baja
CAF035|6.5|8.7|8.9|9.1|9.3|8.6|3.4|9.0|Alta
CAF036|6.2|7.3|6.8|7.1|7.0|6.7|5.7|6.9|Media
CAF037|5.7|5.9|4.8|5.2|5.0|4.6|8.1|4.9|Baja
CAF038|6.4|8.0|8.2|8.5|8.6|8.0|3.8|8.4|Alta
CAF039|6.0|6.6|5.5|5.9|5.7|5.4|6.7|5.6|Media
CAF040|6.3|7.5|7.0|7.3|7.2|6.9|5.5|7.1|Media
CAF041|5.8|6.1|5.0|5.3|5.1|4.8|7.8|5.0|Baja
CAF042|6.5|8.4|8.7|9.0|9.1|8.5|3.3|8.9|Alta
CAF043|6.1|6.8|6.1|6.4|6.3|6.0|6.4|6.2|Media
CAF044|5.9|6.3|5.2|5.6|5.4|5.0|7.3|5.2|Baja
CAF045|6.4|8.2|8.4|8.7|8.8|8.2|3.6|8.6|Alta
CAF046|6.2|7.4|6.9|7.2|7.1|6.8|5.6|7.0|Media
CAF047|5.7|5.8|4.7|5.1|4.9|4.5|8.2|4.8|Baja
CAF048|6.3|7.6|7.2|7.5|7.4|7.1|5.2|7.3|Media
CAF049|6.6|8.9|9.2|9.5|9.6|9.0|3.1|9.3|Alta
CAF050|6.0|6.7|5.6|6.0|5.8|5.5|6.8|5.7|Media
CAF051|5.8|6.0|4.9|5.2|5.0|4.7|8.0|4.9|Baja
CAF052|6.4|8.1|8.3|8.6|8.7|8.1|3.7|8.5|Alta
CAF053|6.1|6.9|6.2|6.5|6.4|6.1|6.3|6.3|Media
CAF054|5.9|6.2|5.1|5.5|5.3|4.9|7.6|5.1|Baja
